iteration,total_human_queries,auto_labels,auto_rate,graph_edges,augmentation,defender_changed,ensemble_std_mean,defender_id,defender_true_reward,round,defender_source
1,11,17,85.0,28,2.5454545454545454,False,2.248319607973099,27.0,50.0,,
2,12,14,70.0,40,3.3333333333333335,False,2.4285712599754334,27.0,50.0,,
3,13,19,95.0,50,3.8461538461538463,False,1.8217036545276641,27.0,50.0,,
4,14,19,95.0,64,4.571428571428571,False,1.7534706890583038,27.0,50.0,,
5,14,20,100.0,73,5.214285714285714,False,1.7043761312961578,27.0,50.0,,
6,14,20,100.0,81,5.785714285714286,False,1.6905271768569947,27.0,50.0,,
7,14,20,100.0,87,6.214285714285714,False,1.7691771924495696,27.0,50.0,,
8,15,17,85.0,91,6.066666666666666,False,1.9065943658351898,27.0,50.0,,
9,16,19,95.0,93,5.8125,False,1.6172629714012146,27.0,50.0,,
10,17,0,95.0,95,5.588235294117647,False,1.9460370659828186,27.0,50.0,,
11,17,20,100.0,99,5.823529411764706,False,1.7303942173719407,27.0,50.0,,
12,17,20,100.0,99,5.823529411764706,False,1.7274356752634048,27.0,50.0,,
13,17,20,100.0,99,5.823529411764706,False,1.7329017043113708,27.0,50.0,,
14,18,18,90.0,101,5.611111111111111,False,1.891233742237091,27.0,50.0,,
15,18,20,100.0,101,5.611111111111111,False,1.675854706764221,27.0,50.0,,
16,19,19,95.0,102,5.368421052631579,False,1.8689913749694824,27.0,50.0,,
17,20,19,95.0,105,5.25,False,1.6949905753135681,27.0,50.0,,
18,21,0,95.0,107,5.095238095238095,False,1.7391331911087036,27.0,50.0,,
19,21,20,100.0,107,5.095238095238095,False,1.851366287469864,27.0,50.0,,
20,21,20,100.0,108,5.142857142857143,False,1.4006605446338654,27.0,50.0,,
21,22,18,90.0,108,5.142857142857143,False,3.378292238712311,27.0,50.0,,
22,23,0,80.0,109,5.190476190476191,False,3.636498212814331,27.0,50.0,,
23,24,18,90.0,109,5.190476190476191,False,3.444498336315155,27.0,50.0,,
24,25,0,65.0,109,5.190476190476191,False,4.226988565921784,27.0,50.0,,
25,26,0,80.0,109,5.190476190476191,False,3.9011597633361816,27.0,50.0,,
26,27,19,95.0,109,5.190476190476191,False,3.0960792362689973,27.0,50.0,,
27,28,17,85.0,109,5.190476190476191,False,3.5233398199081423,27.0,50.0,,
28,29,18,90.0,109,5.190476190476191,False,3.4841233015060427,27.0,50.0,,
29,30,18,90.0,109,5.190476190476191,False,3.4157180726528167,27.0,50.0,,
30,31,18,90.0,109,5.190476190476191,False,3.317714273929596,27.0,50.0,,
31,32,18,90.0,109,5.190476190476191,False,3.5241838812828066,27.0,50.0,,
32,33,0,95.0,109,5.190476190476191,False,3.4771191239356996,27.0,50.0,,
33,33,20,100.0,109,5.190476190476191,False,3.0509161829948424,27.0,50.0,,
34,34,17,85.0,109,5.190476190476191,False,3.578616201877594,27.0,50.0,,
35,35,19,95.0,109,5.190476190476191,False,3.1470542192459106,27.0,50.0,,
36,36,19,95.0,109,5.190476190476191,False,3.4218660593032837,27.0,50.0,,
37,37,0,95.0,109,5.190476190476191,False,3.1845577001571654,27.0,50.0,,
38,38,18,90.0,109,5.190476190476191,False,3.4050344944000246,27.0,50.0,,
39,39,19,95.0,109,5.190476190476191,False,3.1250115990638734,27.0,50.0,,
40,39,20,100.0,109,5.190476190476191,False,2.8703063905239103,27.0,50.0,,
41,39,20,100.0,109,5.190476190476191,False,2.2527273833751678,27.0,50.0,,
42,39,20,100.0,109,5.190476190476191,False,2.5541053473949433,27.0,50.0,,
43,39,20,100.0,109,5.190476190476191,False,2.222401815652847,27.0,50.0,,
44,39,20,100.0,109,5.190476190476191,False,2.004751467704773,27.0,50.0,,
45,39,20,100.0,109,5.190476190476191,False,2.062982589006424,27.0,50.0,,
46,39,20,100.0,109,5.190476190476191,False,1.9987964630126953,27.0,50.0,,
47,39,20,100.0,109,5.190476190476191,False,2.0547949612140655,27.0,50.0,,
48,39,20,100.0,109,5.190476190476191,False,1.9765056669712067,27.0,50.0,,
49,39,20,100.0,109,5.190476190476191,False,2.2243568003177643,27.0,50.0,,
50,39,20,100.0,109,5.190476190476191,False,1.6731362760066986,27.0,50.0,,
51,39,20,100.0,109,5.190476190476191,False,2.103903371095657,27.0,50.0,,
52,39,20,100.0,109,5.190476190476191,False,1.964798492193222,27.0,50.0,,
53,39,20,100.0,109,5.190476190476191,False,2.1202342092990873,27.0,50.0,,
54,39,20,100.0,109,5.190476190476191,False,1.918266272544861,27.0,50.0,,
55,39,20,100.0,109,5.190476190476191,False,2.0764360308647154,27.0,50.0,,
56,39,20,100.0,109,5.190476190476191,False,1.8971279382705688,27.0,50.0,,
57,39,20,100.0,109,5.190476190476191,False,1.9132750272750854,27.0,50.0,,
58,39,20,100.0,109,5.190476190476191,False,1.983661699295044,27.0,50.0,,
59,39,20,100.0,109,5.190476190476191,False,1.941478192806244,27.0,50.0,,
60,39,20,100.0,109,5.190476190476191,False,2.038028782606125,27.0,50.0,,
61,39,20,100.0,109,5.190476190476191,False,1.9056230366230011,27.0,50.0,,
62,39,20,100.0,109,5.190476190476191,False,1.6767464101314544,27.0,50.0,,
63,39,20,100.0,109,5.190476190476191,False,1.9059877455234528,27.0,50.0,,
64,39,20,100.0,109,5.190476190476191,False,1.926841026544571,27.0,50.0,,
65,39,20,100.0,109,5.190476190476191,False,1.6802173554897308,27.0,50.0,,
66,39,20,100.0,109,5.190476190476191,False,2.036337840557098,27.0,50.0,,
67,39,20,100.0,109,5.190476190476191,False,1.7388721227645874,27.0,50.0,,
68,39,20,100.0,109,5.190476190476191,False,1.8089299827814103,27.0,50.0,,
69,39,20,100.0,109,5.190476190476191,False,1.6366417050361632,27.0,50.0,,
70,39,20,100.0,109,5.190476190476191,False,2.09494509100914,27.0,50.0,,
71,39,20,100.0,109,5.190476190476191,False,1.8830997049808502,27.0,50.0,,
72,39,20,100.0,109,5.190476190476191,False,2.547059044241905,27.0,50.0,,
73,39,20,100.0,109,5.190476190476191,False,1.9656520068645478,27.0,50.0,,
74,39,20,100.0,109,5.190476190476191,False,1.90452883541584,27.0,50.0,,
75,39,20,100.0,109,5.190476190476191,False,1.9760148346424102,27.0,50.0,,
76,39,20,100.0,109,5.190476190476191,False,1.9445212930440903,27.0,50.0,,
77,39,20,100.0,109,5.190476190476191,False,1.6531191408634185,27.0,50.0,,
78,39,20,100.0,109,5.190476190476191,False,2.1644919574260713,27.0,50.0,,
79,39,20,100.0,109,5.190476190476191,False,1.9315592378377915,27.0,50.0,,
80,39,20,100.0,109,5.190476190476191,False,2.0384950995445252,27.0,50.0,,
81,39,20,100.0,109,5.190476190476191,False,2.0270258843898774,27.0,50.0,,
82,39,20,100.0,109,5.190476190476191,False,2.1338275134563447,27.0,50.0,,
